experiment,model,epochs,imgsz,batch,learning_rate,augmentation_profile,mAP50,mAP50_95,precision,recall,f1,training_time_min,model_size_mb,inference_latency_ms,device,notes
baseline_yolov8n_640,yolov8n.pt,24,640,8,0.01,default+mosaic,0.6708,0.3287,0.5996,0.6608,0.6287,23,24.5,11.93,cuda,"baseline; stopped at e24 (converged, VRAM thrash on 4GB WDDM GPU)"
exp_imgsz320,yolov8n.pt,60,320,16,0.01,default+mosaic,0.7247,0.3939,0.6856,0.6861,0.6858,60,6.21,10.52,cuda,image-size exp; native 200px source; beats 640 baseline
exp_mosaic0_320,yolov8n.pt,44,320,16,0.01,no-mosaic,0.7053,0.3598,0.6167,0.6813,0.6474,44,6.21,10.69,cuda,augmentation exp; early-stopped; mosaic=0 hurts (keep default mosaic)
exp_yolov8s_320,yolov8s.pt,25,320,16,0.01,default+mosaic,0.6735,0.3161,0.7301,0.5489,0.6266,24,89.48,33.01,cuda,model-size exp; INTERRUPTED at e25 (process died overnight); best@e17; behind nano at same epochs + 3.4x bigger
