epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2744.21,1.26411,1.16648,1.32146,0.60059,0.69918,0.69016,0.36918,1.54662,1.39726,1.50169,0.000307,0.000307,0.000307
44,2806.44,1.28386,1.16197,1.3378,0.61051,0.70849,0.73367,0.37068,1.58112,1.35941,1.52411,0.0002905,0.0002905,0.0002905
45,2868.57,1.28572,1.17543,1.35103,0.60626,0.659,0.68468,0.36157,1.55117,1.40282,1.50933,0.000274,0.000274,0.000274
46,2930.93,1.2813,1.16976,1.34025,0.6146,0.68943,0.70295,0.3702,1.56763,1.38175,1.51803,0.0002575,0.0002575,0.0002575
47,2993.14,1.24887,1.13461,1.31813,0.60946,0.6632,0.68318,0.3632,1.58691,1.37745,1.52937,0.000241,0.000241,0.000241
48,3055.32,1.26348,1.13988,1.3323,0.64426,0.68764,0.715,0.37302,1.59714,1.33523,1.49474,0.0002245,0.0002245,0.0002245
49,3117.63,1.26127,1.12966,1.32209,0.59967,0.66863,0.65961,0.34981,1.59271,1.45707,1.52254,0.000208,0.000208,0.000208
50,3179.93,1.26009,1.13039,1.32393,0.63275,0.68179,0.70063,0.37432,1.56823,1.37791,1.51935,0.0001915,0.0001915,0.0001915
51,3240.69,1.2477,1.14239,1.33374,0.6171,0.67534,0.70176,0.38243,1.52542,1.38731,1.50429,0.000175,0.000175,0.000175
52,3301.26,1.2187,1.05886,1.31741,0.62304,0.69371,0.69296,0.37596,1.5523,1.36658,1.50405,0.0001585,0.0001585,0.0001585
53,3361.59,1.19531,1.02421,1.29962,0.61578,0.68217,0.70092,0.38742,1.52933,1.34793,1.50255,0.000142,0.000142,0.000142
54,3421.87,1.22182,1.03686,1.31421,0.64939,0.65952,0.69282,0.38033,1.53224,1.35042,1.49557,0.0001255,0.0001255,0.0001255
55,3482.25,1.20304,1.01317,1.29586,0.62686,0.6852,0.69939,0.386,1.54507,1.34406,1.51118,0.000109,0.000109,0.000109
56,3542.58,1.18613,0.99336,1.29623,0.68644,0.68481,0.72405,0.39418,1.53398,1.32391,1.49421,9.25e-05,9.25e-05,9.25e-05
57,3602.94,1.19135,0.98608,1.29481,0.62034,0.67965,0.68711,0.37403,1.54418,1.35154,1.50759,7.6e-05,7.6e-05,7.6e-05
58,3663.23,1.16675,0.98371,1.27884,0.65688,0.70737,0.72275,0.39249,1.51938,1.32066,1.47912,5.95e-05,5.95e-05,5.95e-05
59,3723.65,1.17162,0.98146,1.28098,0.63918,0.6911,0.70502,0.38873,1.51942,1.3244,1.48696,4.3e-05,4.3e-05,4.3e-05
60,3784.18,1.15681,0.97718,1.27851,0.66169,0.67934,0.71618,0.3941,1.52718,1.32144,1.48643,2.65e-05,2.65e-05,2.65e-05
