class,AP50,AP50_95
crazing,0.4865,0.2066
inclusion,0.8247,0.4518
patches,0.9231,0.6046
pitted_surface,0.7915,0.4652
rolled-in_scale,0.4856,0.2114
scratches,0.8365,0.4234
